Date,PortfolioValue,BenchmarkValue,PortfolioDailyRet,BenchmarkDailyRet,PortfolioCumRet,BenchmarkCumRet
2025-11-10,99940.99990234376,10000.0,0.0,0.0,0.0,0.0
2025-11-11,99973.14989624024,10000.0,0.0003216897362232629,0.0,0.0003216897362232629,0.0
2025-11-11,99948.1,10000.0,-0.00025056623969765823,0.0,7.10428919381556e-05,0.0
2025-11-11,99955.60009155274,10000.0,7.503986121526474e-05,0.0,0.00014608808420213393,0.0
2025-11-13,100046.7300769043,10000.0,0.0009117046495452641,0.0,0.0010579259229330784,0.0
2025-11-13,99919.04996948244,10000.0,-0.0012762047027795598,0.0,-0.0002196289098844728,0.0
2025-11-20,100384.07992004397,10000.0,0.004654066974251192,0.0,0.004433415896710535,0.0
2025-11-20,100206.8898526001,10000.0,-0.0017651211983513715,0.0,0.0026604691819787085,0.0
2025-11-20,67532.72990783691,10000.0,-0.32606699991213606,0.0,-0.3242740219346838,0.0
2025-11-20,100000.85006103516,10000.0,0.4807760651392008,0.0,0.0005988549118969289,0.0
2025-11-20,99999.5,10000.0,-1.3500495589124917e-05,0.0,0.0005853463314697827,0.0
2025-11-20,99990.09997558594,10000.0,-9.400071414422673e-05,0.0,0.0004912905943523782,0.0
2025-11-24,99989.2999267578,10000.0,-8.001280410119271e-06,0.0,0.0004832853829883632,0.0
2025-11-25,100001.10002502444,10000.0,0.00011801361020924439,0.0,0.0006013560274504837,0.0
2025-11-26,100009.37007507324,10000.0,8.269959077189526e-05,0.0,0.000684105350119868,0.0
2025-11-27,100024.31002258301,10000.0,0.0001493854775662662,0.0,0.0008335930230904953,0.0
